origin,model,model_version,params_hash,mae,rmse,smape,first_seen
2026-01-04 21:00:00+00:00,HistGradientBoosting,v1,d3598930,3874.69,4190.48,6.38,2026-09-08 08:38:45+00:00
2026-01-05 21:00:00+00:00,HistGradientBoosting,v1,d3598930,2690.73,3718.92,4.484,2026-09-08 08:38:45+00:00
2026-01-06 21:00:00+00:00,HistGradientBoosting,v1,d3598930,6243.81,7038.03,9.472,2026-09-08 08:38:45+00:00
2026-01-07 21:00:00+00:00,HistGradientBoosting,v1,d3598930,5638.52,8289.98,8.483,2026-09-08 08:38:45+00:00
2026-01-08 21:00:00+00:00,HistGradientBoosting,v1,d3598930,3936.59,5898.5,6.106,2026-09-08 08:38:45+00:00
2026-01-09 21:00:00+00:00,HistGradientBoosting,v1,d3598930,4680.17,6039.08,7.303,2026-09-08 08:38:45+00:00
2026-01-10 21:00:00+00:00,HistGradientBoosting,v1,d3598930,2117.52,2302.06,3.781,2026-09-08 08:38:45+00:00
2026-01-11 21:00:00+00:00,HistGradientBoosting,v1,d3598930,2242.18,2783.08,3.199,2026-09-08 08:38:45+00:00
2026-01-12 21:00:00+00:00,HistGradientBoosting,v1,d3598930,2405.3,2976.96,3.438,2026-09-08 08:38:45+00:00
2026-01-13 21:00:00+00:00,HistGradientBoosting,v1,d3598930,851.63,1003.11,1.364,2026-09-08 08:38:45+00:00
2026-01-14 21:00:00+00:00,HistGradientBoosting,v1,d3598930,3313.81,4252.29,5.484,2026-09-08 08:38:45+00:00
2026-01-15 21:00:00+00:00,HistGradientBoosting,v1,d3598930,2019.44,2414.79,3.17,2026-09-08 08:38:45+00:00
2026-01-16 21:00:00+00:00,HistGradientBoosting,v1,d3598930,4551.7,5169.54,7.602,2026-09-08 08:38:45+00:00
2026-01-17 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1946.22,2326.78,3.543,2026-09-08 08:38:45+00:00
2026-01-18 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1825.64,2115.04,2.831,2026-09-08 08:38:45+00:00
2026-01-19 21:00:00+00:00,HistGradientBoosting,v1,d3598930,985.02,1454.18,1.49,2026-09-08 08:38:45+00:00
2026-01-20 21:00:00+00:00,HistGradientBoosting,v1,d3598930,2274.97,2730.38,3.444,2026-09-08 08:38:45+00:00
2026-01-21 21:00:00+00:00,HistGradientBoosting,v1,d3598930,4325.1,5443.6,6.483,2026-09-08 08:38:45+00:00
2026-01-22 21:00:00+00:00,HistGradientBoosting,v1,d3598930,4575.94,7339.6,6.944,2026-09-08 08:38:45+00:00
2026-01-23 21:00:00+00:00,HistGradientBoosting,v1,d3598930,2722.0,3585.18,4.482,2026-09-08 08:38:45+00:00
2026-01-24 21:00:00+00:00,HistGradientBoosting,v1,d3598930,2830.37,3442.69,4.944,2026-09-08 08:38:45+00:00
2026-01-25 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1333.06,1858.78,1.874,2026-09-08 08:38:45+00:00
2026-01-26 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1789.9,2117.24,2.572,2026-09-08 08:38:45+00:00
2026-01-27 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1048.71,1373.48,1.519,2026-09-08 08:38:45+00:00
2026-01-28 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1634.65,2137.99,2.291,2026-09-08 08:38:45+00:00
2026-01-29 21:00:00+00:00,HistGradientBoosting,v1,d3598930,2450.33,2856.25,3.597,2026-09-08 08:38:45+00:00
2026-01-30 21:00:00+00:00,HistGradientBoosting,v1,d3598930,3287.84,4170.37,5.35,2026-09-08 08:38:45+00:00
2026-01-31 21:00:00+00:00,HistGradientBoosting,v1,d3598930,823.9,1062.73,1.451,2026-09-08 08:38:45+00:00
2026-02-01 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1107.71,1328.17,1.705,2026-09-08 08:38:45+00:00
2026-02-02 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1856.07,2031.22,2.751,2026-09-08 08:38:45+00:00
2026-02-03 21:00:00+00:00,HistGradientBoosting,v1,d3598930,2374.25,2684.81,3.485,2026-09-08 08:38:45+00:00
2026-02-04 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1809.99,2155.78,2.627,2026-09-08 08:38:45+00:00
2026-02-05 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1334.5,1461.22,1.971,2026-09-08 08:38:45+00:00
2026-02-06 21:00:00+00:00,HistGradientBoosting,v1,d3598930,3009.94,3461.5,5.062,2026-09-08 08:38:45+00:00
2026-02-07 21:00:00+00:00,HistGradientBoosting,v1,d3598930,787.13,931.46,1.47,2026-09-08 08:38:45+00:00
2026-02-08 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1073.56,1265.77,1.74,2026-09-08 08:38:45+00:00
2026-02-09 21:00:00+00:00,HistGradientBoosting,v1,d3598930,2458.89,2582.23,3.82,2026-09-08 08:38:45+00:00
2026-02-10 21:00:00+00:00,HistGradientBoosting,v1,d3598930,2888.37,2972.27,4.489,2026-09-08 08:38:45+00:00
2026-02-11 21:00:00+00:00,HistGradientBoosting,v1,d3598930,591.57,684.08,0.965,2026-09-08 08:38:45+00:00
2026-02-12 21:00:00+00:00,HistGradientBoosting,v1,d3598930,826.22,993.57,1.336,2026-09-08 08:38:45+00:00
2026-02-13 21:00:00+00:00,HistGradientBoosting,v1,d3598930,842.51,1077.86,1.487,2026-09-08 08:38:45+00:00
2026-02-14 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1312.19,1687.34,2.453,2026-09-08 08:38:45+00:00
2026-02-15 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1437.49,1734.94,2.122,2026-09-08 08:38:45+00:00
2026-02-16 21:00:00+00:00,HistGradientBoosting,v1,d3598930,813.42,991.46,1.249,2026-09-08 08:38:45+00:00
2026-02-17 21:00:00+00:00,HistGradientBoosting,v1,d3598930,943.3,1023.37,1.511,2026-09-08 08:38:45+00:00
2026-02-18 21:00:00+00:00,HistGradientBoosting,v1,d3598930,935.12,1135.45,1.482,2026-09-08 08:38:45+00:00
2026-02-19 21:00:00+00:00,HistGradientBoosting,v1,d3598930,2422.31,2620.54,3.758,2026-09-08 08:38:45+00:00
2026-02-20 21:00:00+00:00,HistGradientBoosting,v1,d3598930,2591.24,2912.7,4.591,2026-09-08 08:38:45+00:00
2026-02-21 21:00:00+00:00,HistGradientBoosting,v1,d3598930,2097.68,2446.18,4.347,2026-09-08 08:38:45+00:00
2026-02-22 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1969.04,2105.07,3.293,2026-09-08 08:38:45+00:00
2026-02-23 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1794.71,2068.24,2.809,2026-09-08 08:38:45+00:00
2026-02-24 21:00:00+00:00,HistGradientBoosting,v1,d3598930,2317.17,2764.85,3.767,2026-09-08 08:38:45+00:00
2026-02-25 21:00:00+00:00,HistGradientBoosting,v1,d3598930,2472.67,3176.89,3.927,2026-09-08 08:38:45+00:00
2026-02-26 21:00:00+00:00,HistGradientBoosting,v1,d3598930,2092.65,2475.6,3.613,2026-09-08 08:38:45+00:00
2026-02-27 21:00:00+00:00,HistGradientBoosting,v1,d3598930,3928.7,4313.78,7.626,2026-09-08 08:38:45+00:00
2026-02-28 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1122.01,1283.3,2.403,2026-09-08 08:38:45+00:00
2026-03-01 21:00:00+00:00,HistGradientBoosting,v1,d3598930,3395.3,4405.09,5.613,2026-09-08 08:38:45+00:00
2026-03-02 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1484.04,1996.72,2.567,2026-09-08 08:38:45+00:00
2026-03-03 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1548.07,1951.45,2.783,2026-09-08 08:38:45+00:00
2026-03-04 21:00:00+00:00,HistGradientBoosting,v1,d3598930,2045.49,2633.26,3.458,2026-09-08 08:38:45+00:00
2026-03-05 21:00:00+00:00,HistGradientBoosting,v1,d3598930,985.9,1327.54,1.715,2026-09-08 08:38:45+00:00
2026-03-06 21:00:00+00:00,HistGradientBoosting,v1,d3598930,1959.15,2655.26,3.885,2026-09-08 08:38:45+00:00
